base,forms,chain,cost,role,rarity,types,traits,hp,atk,def,speed,skill,ability_damage,sprites_have,sprites_need
"galarianzigzagoon","3","galarianzigzagoon>galarianlinoone>obstagoon","3","fighter","rare","DARK","","80","6","10","55","SLASH","10/20/40/80 special","0","3"
"gallade","1","gallade","6","tank","common","PSYCHIC/FIGHTING","wincon","260","38","10","51","PSYCHO_CUT","10/20/40/80 special","0","1"
"gardevoir","1","gardevoir","6","sniper","epic","PSYCHIC/FAIRY","","230","26","8","51","FUTURE_SIGHT","20/30/50/80 special","0","1"
"gastly","3","gastly>haunter>gengar","4","skirmisher","ultra","GHOST/POISON","","90","12","6","60","NIGHTMARE","25/50/100/200 special","3","0"
"genesect","1","genesect","7","artillery","legendary","BUG/STEEL","","200","20","12","57","LOCK_ON","","0","1"
"geodude","3","geodude>graveler>golem","2","fighter","common","GROUND/ROCK","","70","4","4","39","ROCK_SLIDE","30/60/120/240 special","3","0"
"gible","3","gible>gabite>garchomp","5","runner","epic","DRAGON/GROUND","wincon jumps","100","5","8","58","DRAGON_BREATH","25/50/100/200 special","0","3"
"gimmighoul","2","gimmighoul>gholdengo","6","tank","unique","GHOST/STEEL","wincon","200","9","8","52","GOLD_RUSH","","0","2"
"girafarig","2","girafarig>farigiraf","4","bruiser","epic","NORMAL/PSYCHIC","","90","11","4","39","TWIN_BEAM","30/60/100/200 special","0","2"
"giratina","1","giratina","7","tank","legendary","DRAGON/GHOST","wincon","250","32","12","54","SHADOW_FORCE","30/45/60/120 special","0","1"
"glaceon","1","glaceon","5","tank","special","ICE","wincon","150","12","6","43","HAPPY_HOUR","","1","0"
"glameow","2","glameow>purugly","3","runner","uncommon","NORMAL/DARK","wincon jumps","65","6","3","70","SWAGGER","","0","2"
"glastrier","1","glastrier","7","tank","legendary","ICE","wincon","280","30","20","22","GLACIAL_LANCE","","0","1"
"gligar","2","gligar>gliscor","5","tank","epic","GROUND/POISON/FLYING","wincon air","100","11","6","55","POISON_JAB","30/60/120/240 special","0","2"
"glimmet","2","glimmet>glimmora","3","fighter","rare","POISON/ROCK/GRASS","","80","6","8","53","MORTAL_SPIN","20/40/80/160 special","0","2"
"goldeen","2","goldeen>seaking","3","fighter","rare","WATER/NORMAL","","90","8","4","47","WATERFALL","","0","2"
"golett","2","golett>golurk","3","fighter","rare","GROUND/GHOST","","80","7","4","43","SHADOW_PUNCH","","0","2"
"goomy","1","goomy","1","fighter","common","DRAGON/WATER","","65","4","2","35","ACID_ARMOR","","0","1"
"gorebyss","1","gorebyss","6","skirmisher","epic","WATER/PSYCHIC","","200","18","10","35","AQUA_RING","","0","1"
"gossifleur","2","gossifleur>eldegoss","2","fighter","uncommon","GRASS","","70","5","6","50","COTTON_GUARD","","0","2"
"gothita","3","gothita>gothorita>gothitelle","2","sniper","hatch","PSYCHIC","","70","5","2","46","FAKE_TEARS","5/10/15/30 special","0","3"
"greattusk","1","greattusk","6","tank","unique","GROUND/FIGHTING","wincon","185","20","10","56","HEADLONG_RUSH","20/40/80/160 special","0","1"
"greavard","2","greavard>houndstone","2","fighter","uncommon","GHOST/ROCK","","65","6","6","55","LAST_RESPECTS","30/60/90/180 special","0","2"
"grimer","2","grimer>muk","2","fighter","uncommon","POISON","","80","4","6","41","SLUDGE","","0","2"
"grookey","3","grookey>thwackey>rillaboom","6","runner","ultra","GRASS","wincon jumps","120","17","8","58","DRUM_BEATING","10/20/40/80 special","0","3"
"groudon","2","groudon>primalgroudon","7","tank","legendary","GROUND","wincon","300","20","10","54","PRECIPICE_BLADES","25/50/100/200 special","0","2"
"growlithe","2","growlithe>arcanine","2","fighter","uncommon","FIRE","","75","5","4","55","FIRE_FANG","30/60/120/240 special","0","2"
"grubbin","3","grubbin>charjabug>vikavolt","2","sniper","hatch","BUG/ELECTRIC","","75","5","4","39","ZAP_CANNON","25/50/100/200 special","0","3"
"gulpin","2","gulpin>swalot","4","fighter","epic","POISON","","120","7","4","43","SWALLOW","40/80/150/300 special","0","2"
"guzzlord","1","guzzlord","7","tank","legendary","DARK","wincon","300","25","10","39","CRUNCH","40/80/160/320 special","0","1"
"happiny","3","happiny>chansey>blissey","5","tank","ultra","NORMAL/FAIRY","wincon","150","8","10","43","SOFT_BOILED","","0","3"
"hatenna","3","hatenna>hattrem>hatterene","3","fighter","uncommon","FAIRY/PSYCHIC","","75","7","4","34","MAGIC_POWDER","","0","3"
"hawlucha","1","hawlucha","6","runner","unique","FIGHTING/FLYING","wincon air","180","17","8","63","FLYING_PRESS","","0","1"
"heatmor","1","heatmor","6","tank","unique","FIRE","wincon","200","22","7","46","FIRE_LASH","30/60/120/240 special","0","1"
"heatran","1","heatran","7","skirmisher","legendary","FIRE/STEEL","","280","19","10","50","MAGMA_STORM","50/75/100/200 special","0","1"
"helioptile","2","helioptile>heliolisk","3","sniper","epic","NORMAL/ELECTRIC","","75","7","4","60","PARABOLIC_CHARGE","","0","2"
"heracross","1","heracross","6","tank","unique","BUG/FIGHTING","wincon","190","21","6","52","CLOSE_COMBAT","30/65/130/260 special","0","1"
"hippopotas","2","hippopotas>hippodown","5","tank","epic","GROUND/NORMAL","wincon","120","11","8","40","SAND_TOMB","10/20/40/80 special","0","2"
"hisuianlilligant","1","hisuianlilligant","5","runner","uncommon","GRASS/FIGHTING","wincon jumps","180","14","6","59","VICTORY_DANCE","","0","1"
"hisuianqwilfish","2","hisuianqwilfish>overqwil","6","tank","unique","DARK/POISON/WATER","wincon","175","13","12","52","BARB_BARRAGE","","0","2"
"hisuiantyphlosion","1","hisuiantyphlosion","5","skirmisher","uncommon","FIRE/GHOST","","230","24","6","51","INFERNAL_PARADE","","0","1"
"hisuiavalugg","1","hisuiavalugg","5","tank","rare","ICE/ROCK","wincon","170","17","20","38","MOUNTAIN_GALE","","0","1"
"hisuigrowlithe","2","hisuigrowlithe>hisuiarcanine","2","fighter","uncommon","FIRE/ROCK","","75","5","6","54","DOUBLE_EDGE","55/110/220/440 physical","0","2"
"hisuisamurott","1","hisuisamurott","6","tank","epic","WATER/DARK","wincon","280","36","14","47","CEASELESS_EDGE","20/40/80/160 special","0","1"
"hisuisliggoo","2","hisuisliggoo>hisuigoodra","4","tank","common","DRAGON/STEEL","wincon","110","8","6","35","SHELTER","","0","2"
"hisuisneasel","2","hisuisneasel>sneasler","4","runner","epic","POISON/FIGHTING","wincon jumps","85","8","2","63","DIRE_CLAW","15/30/60/120 special","0","2"
"hisuivoltorb","2","hisuivoltorb>hisuielectrode","3","runner","uncommon","ELECTRIC/GRASS","wincon jumps","60","7","2","73","CHLOROBLAST","50/100/200/400 special","0","2"
"hisuizorua","2","hisuizorua>hisuizoroark","3","runner","uncommon","NORMAL/GHOST","wincon jumps","70","7","4","60","BITTER_MALICE","25/50/100/200 special","0","2"
"hitmonchan","1","hitmonchan","7","tank","unique","FIGHTING","wincon","200","22","12","49","MEGA_PUNCH","20/40/60/120 special","0","1"
"hitmonlee","1","hitmonlee","6","tank","unique","FIGHTING","wincon","200","24","6","56","MAWASHI_GERI","20/40/60/120 special","0","1"
"hitmontop","1","hitmontop","7","tank","unique","FIGHTING","wincon","200","22","10","45","TRIPLE_KICK","20/40/60/120 special","0","1"
"honedge","3","honedge>doublade>aegislash","2","fighter","rare","GHOST/STEEL","","75","6","4","44","KING_SHIELD","","0","3"
"hooh","1","hooh","7","skirmisher","legendary","FIRE/FLYING","air","300","30","6","50","FIRE_BLAST","30/60/110/220 special","0","1"
"hoopa","1","hoopa","6","tank","unique","PSYCHIC/DARK/GHOST","wincon","180","15","6","47","UNBOUND","","0","1"
"hoopaunbound","1","hoopaunbound","7","tank","unique","PSYCHIC/DARK/GHOST","wincon","280","25","6","47","HYPERSPACE_FURY","","0","1"
"hoothoot","2","hoothoot>noctowl","3","fighter","uncommon","NORMAL/FLYING/PSYCHIC","air","75","5","4","47","HYPNOSIS","","0","2"
"hoppip","3","hoppip>skiploom>jumpluff","2","sniper","special","FLYING/GRASS","air","50","5","2","60","ACROBATICS","20/40/80/160 special","3","0"
"horsea","3","horsea>seadra>kingdra","2","skirmisher","uncommon","DRAGON/WATER","","70","6","2","52","WHIRLPOOL","","0","3"
"houndour","3","houndour>houndoom>megahoundoom","4","tank","epic","FIRE/DARK","wincon","90","7","6","55","BEAT_UP","","0","3"
"huntail","1","huntail","6","tank","epic","WATER/DARK","wincon","140","30","10","35","CAVERNOUS_CHOMP","40/80/160/320 special","0","1"
"igglybuff","3","igglybuff>jigglypuff>wigglytuff","2","skirmisher","uncommon","NORMAL/FAIRY","","65","5","2","39","SING","","0","3"
"illumise","1","illumise","5","bruiser","unique","BUG/FLYING","air","130","12","4","52","STRUGGLE_BUG","","0","1"
"impidimp","3","impidimp>morgrem>grimmsnarl","2","fighter","uncommon","DARK/FAIRY","","60","6","2","44","SPIRIT_BREAK","20/40/80/160 special","0","3"
"indeedeefemale","1","indeedeefemale","5","skirmisher","unique","NORMAL/PSYCHIC","","190","9","4","61","FOLLOW_ME","","0","1"
"indeedeemale","1","indeedeemale","5","skirmisher","unique","NORMAL/PSYCHIC","","160","13","2","61","AFTER_YOU","","0","1"
"inkay","2","inkay>malamar","5","tank","epic","DARK/PSYCHIC/WATER","wincon","90","9","6","48","TOPSY_TURVY","40/80/160/320 special","0","2"
"ironbundle","1","ironbundle","6","runner","unique","ICE/WATER","wincon jumps","200","13","10","69","AURORA_BEAM","25/50/100/200 special","0","1"
"ironhands","1","ironhands","6","tank","unique","FIGHTING/ELECTRIC","wincon","230","20","8","41","FORCE_PALM","","0","1"
"ironthorns","1","ironthorns","6","tank","unique","ROCK/ELECTRIC","wincon","200","18","8","30","VOLT_SURGE","10/20/30/60 special","0","1"
"ironvaliant","1","ironvaliant","7","runner","legendary","FIGHTING/FAIRY","wincon jumps","250","25","10","76","LASER_BLADE","25/25/25/50 special","0","1"
"jangmoo","3","jangmoo>hakamoo>kommoo","4","tank","epic","DRAGON/FIGHTING","wincon","100","6","8","52","CLANGOROUS_SOUL","","0","3"
"jirachi","1","jirachi","7","sniper","legendary","STEEL/PSYCHIC","","220","27","10","57","DOOM_DESIRE","100/125/150/300 special","0","1"
"jolteon","1","jolteon","5","runner","special","ELECTRIC","wincon jumps","150","8","6","83","HAPPY_HOUR","","1","0"
"joltik","2","joltik>galvantula","4","runner","rare","BUG/ELECTRIC","wincon jumps","80","7","6","60","ELECTRO_WEB","15/30/60/120 special","0","2"
"kabuto","2","kabuto>kabutops","3","fighter","rare","WATER","","80","8","6","51","PROTECT","","0","2"
"kangaskhan","1","kangaskhan","6","tank","unique","FIGHTING/NORMAL","wincon","200","15","8","54","DIZZY_PUNCH","20/40/80/160 special","0","1"
"karrablast","2","karrablast>escavalier","4","bruiser","epic","BUG/STEEL","","70","15","5","42","TWINEEDLE","25/50/80/160 special","0","2"
"kartana","1","kartana","7","runner","legendary","STEEL/GRASS","wincon jumps","200","35","20","60","LEAF_BLADE","","0","1"
"kecleon","1","kecleon","6","tank","unique","","wincon","200","22","6","38","CAMOUFLAGE","","0","1"
"kecleonpurple","1","kecleonpurple","6","tank","special","","wincon","200","22","6","38","CAMOUFLAGE","","0","1"
"keldeo","1","keldeo","7","runner","legendary","WATER/FIGHTING","wincon jumps true","300","26","8","60","SECRET_SWORD","50/100/150/300 true","0","1"
"kleavor","1","kleavor","6","tank","unique","BUG/ROCK/DARK","wincon true","170","22","14","55","STONE_AXE","30/40/50/100 true","0","1"
"klefki","1","klefki","6","sniper","unique","STEEL/FAIRY","","150","15","8","49","FAIRY_LOCK","50/70/90/180 special","0","1"
"klink","3","klink>klang>klinklang","1","sniper","common","STEEL","","50","4","3","35","GEAR_GRIND","","0","3"
"koffing","1","koffing","2","fighter","uncommon","POISON","","65","5","8","44","SMOG","10/20/40/80 special","1","0"
"komala","1","komala","6","tank","unique","NORMAL/GRASS","wincon","170","20","7","45","SNORE","20/40/60/120 special","0","1"
"krabby","2","krabby>kingler","3","fighter","uncommon","WATER/NORMAL","","80","6","8","49","VISE_GRIP","30/60/100/200 special","0","2"
"kricketot","2","kricketot>kricketune","3","fighter","rare","BUG","","80","7","4","46","SCREECH","","0","2"
"kubfu","1","kubfu","6","tank","unique","FIGHTING","wincon","150","15","8","50","MACH_PUNCH","25/50/100/200 special","0","1"
"kyogre","2","kyogre>primalkyogre","7","sniper","legendary","WATER","","300","18","6","54","ORIGIN_PULSE","","0","2"
"kyurem","1","kyurem","7","sniper","legendary","DRAGON/ICE","","200","27","6","55","GLACIATE","","0","1"
"landorus","1","landorus","7","sniper","legendary","FLYING/GROUND","air","250","27","6","57","SANDSEAR_STORM","45/60/75/150 special","0","1"
"lapras","1","lapras","6","bruiser","unique","WATER/ICE","","225","12","5","38","DIVE","10/20/40/80 special","0","1"
"larvesta","2","larvesta>volcarona","4","sniper","epic","FIRE/BUG","","100","11","4","57","FIERY_DANCE","25/50/100/200 special","0","2"
"larvitar","3","larvitar>pupitar>tyranitar","3","fighter","rare","DARK/ROCK","","75","7","5","39","BITE","40/80/120/200 special","3","0"
"latias","1","latias","4","sniper","unique","DRAGON/PSYCHIC","","120","9","4","60","MIST_BALL","10/20/30/60 special","0","1"
"latios","1","latios","4","sniper","unique","DRAGON/PSYCHIC","","120","9","4","60","LUSTER_PURGE","10/20/30/60 special","0","1"
"leafeon","1","leafeon","5","runner","special","GRASS","wincon jumps","150","9","6","61","HAPPY_HOUR","","1","0"
"lechonk","2","lechonk>oinkolognemale","2","fighter","uncommon","NORMAL","","75","6","3","41","LINGERING_AROMA","10/20/30/60 special","0","2"
"ledyba","2","ledyba>ledian","2","fighter","uncommon","BUG/FIGHTING/FLYING","air","60","5","2","55","MACH_PUNCH","25/50/100/200 special","0","2"
"lickitung","2","lickitung>lickilicky","2","fighter","uncommon","NORMAL","","70","5","4","41","LICK","30/60/120/240 special","0","2"
"lileep","2","lileep>cradily","2","skirmisher","rare","GRASS","","70","7","4","39","LEECH_SEED","","0","2"
"lilligant","1","lilligant","5","tank","uncommon","GRASS","wincon","180","10","8","54","AROMATHERAPY","","0","1"
"lillipup","3","lillipup>herdier>stoutland","2","fighter","common","NORMAL","","60","6","4","51","RETALIATE","","0","3"
"litten","3","litten>torracat>incineroar","5","tank","epic","FIRE/DARK","wincon","95","8","8","44","DARKEST_LARIAT","","0","3"
"litwick","3","litwick>lampent>chandelure","1","sniper","common","GHOST/FIRE","","50","4","2","51","HEX","20/40/80/160 special","0","3"
"lotad","3","lotad>lombre>ludicolo","2","sniper","rare","GRASS/WATER","","60","6","2","47","TORMENT","","0","3"
"lugia","1","lugia","7","runner","legendary","WATER/FLYING/PSYCHIC","wincon air","300","26","12","60","SKY_ATTACK","30/60/120/240 special","0","1"
"lunala","1","lunala","7","artillery","legendary","PSYCHIC/GHOST","","300","27","6","56","MOONGEIST_BEAM","","0","1"
"lunatone","1","lunatone","6","skirmisher","unique","ROCK/PSYCHIC/DARK","","200","20","4","47","COSMIC_POWER_MOON","","0","1"
"luvdisc","1","luvdisc","6","sniper","unique","WATER","","150","14","6","56","CHARM","","0","1"
"lycanrocday","1","lycanrocday","6","runner","epic","ROCK","wincon jumps","190","22","4","61","ACCELEROCK","","0","1"
"lycanrocnight","1","lycanrocnight","6","runner","epic","ROCK/DARK","wincon jumps","190","22","4","61","ACCELEROCK","","0","1"
"machop","3","machop>machoke>machamp","3","fighter","uncommon","FIGHTING","","70","6","6","43","GUILLOTINE","3/3/3/6 special","3","0"
"magby","3","magby>magmar>magmortar","2","skirmisher","rare","FIRE","","80","6","2","52","FLAMETHROWER","","0","3"
"magearna","1","magearna","7","tank","legendary","STEEL/FAIRY","wincon","300","25","8","46","FLEUR_CANNON","50/75/100/200 special","0","1"
"magikarp","2","magikarp>gyarados","2","fighter","special","WATER","","30","1","2","51","SPLASH","","0","2"
"magnemite","3","magnemite>magneton>magnezone","2","skirmisher","uncommon","ELECTRIC/STEEL","","80","5","2","44","MAGNET_BOMB","10/20/40/80 special","0","3"
"makuhita","2","makuhita>hariyama","3","fighter","rare","FIGHTING","","80","8","6","41","DYNAMIC_PUNCH","40/80/160/320 special","0","2"
"manaphy","1","manaphy","7","sniper","legendary","WATER","","250","20","10","57","HEART_SWAP","60/80/100/200 special","0","1"
"mankey","3","mankey>primeape>annihilape","4","tank","epic","FIGHTING","wincon","120","7","6","54","THRASH","","0","3"
"mantyke","2","mantyke>mantine","5","skirmisher","unique","WATER/FLYING","air","160","6","6","47","BOUNCE","15/20/25/30 special","0","2"
"maractus","1","maractus","6","tank","unique","GRASS","wincon","175","16","8","44","SPIKY_SHIELD","30/30/30/60 special","0","1"
"mareanie","2","mareanie>toxapex","3","fighter","rare","WATER/POISON","","60","6","8","35","BANEFUL_BUNKER","10/20/30/50 special","0","2"
"mareep","3","mareep>flaffy>ampharos","1","skirmisher","common","ELECTRIC","","60","5","2","43","THUNDER_SHOCK","","0","3"
"marowak","1","marowak","6","tank","epic","GROUND/GHOST","wincon","250","22","12","36","BONEMERANG","15/30/60/120 special","0","1"
"marshadow","1","marshadow","7","runner","legendary","GHOST/FIGHTING","wincon jumps","200","23","10","65","SPECTRAL_THIEF","30/40/50/100 special","0","1"
"mawile","1","mawile","6","tank","unique","STEEL/FAIRY","wincon","180","18","12","47","PLAY_ROUGH","","0","1"
"meditite","2","meditite>medicham","4","skirmisher","epic","PSYCHIC/FIGHTING","","80","9","8","51","MEDITATE","","0","2"
"melmetal","1","melmetal","7","tank","legendary","STEEL","wincon","320","35","14","36","DOUBLE_IRON_BASH","","0","1"
"meloetta","1","meloetta","7","artillery","legendary","NORMAL","","250","23","8","54","RELIC_SONG","","0","1"
"meltan","1","meltan","2","fighter","special","STEEL","","50","5","8","40","MAGNET_PULL","","0","1"
"meowsticfemale","1","meowsticfemale","5","runner","uncommon","PSYCHIC","wincon jumps","150","8","5","66","STORED_POWER","","0","1"
"meowsticmale","1","meowsticmale","5","runner","uncommon","PSYCHIC","wincon jumps","150","8","5","66","REFLECT","","0","1"
"meowth","2","meowth>persian","4","runner","rare","NORMAL","wincon jumps","80","7","6","62","PAYDAY","15/30/60/120 special","0","2"
"mesprit","1","mesprit","6","sniper","unique","PSYCHIC/FAIRY","","200","15","8","51","SONG_OF_DESIRE","","0","1"
"mew","1","mew","7","artillery","legendary","PSYCHIC","","200","27","10","64","TELEPORT","","0","1"
"mewtwo","1","mewtwo","7","sniper","legendary","PSYCHIC","","200","25","10","67","PSYSTRIKE","20/40/80/160 special","0","1"
"mienfoo","2","mienfoo>mienshao","4","runner","rare","FIGHTING","wincon jumps","80","9","6","59","DRAIN_PUNCH","2/2/3/4 special","0","2"
"milcery","1","milcery","5","skirmisher","unique","FAIRY","","150","10","2","41","DECORATE","","0","1"
"miltank","1","miltank","6","tank","unique","NORMAL","wincon","200","13","10","57","ROLLOUT","","0","1"
"mimejr","2","mimejr>mrmime","2","skirmisher","uncommon","FAIRY/PSYCHIC","","60","5","2","54","MIMIC","","0","2"
"mimikyu","1","mimikyu","6","tank","unique","GHOST/FAIRY","wincon true","180","14","10","56","SHADOW_SNEAK","25/40/50/100 true","0","1"
"mimikyubusted","1","mimikyubusted","7","tank","unique","GHOST/FAIRY","wincon true","180","24","10","56","SHADOW_SNEAK","25/40/50/100 true","0","1"
"minccino","2","minccino>cinccino","3","runner","uncommon","NORMAL","wincon jumps","60","5","3","74","ENCORE","","0","2"
"minior","1","minior","6","sniper","unique","FLYING/ROCK","air","200","14","10","44","SHIELDS_DOWN","","0","1"
"miniorkernelblue","1","miniorkernelblue","6","sniper","unique","FLYING/ROCK","air","200","14","10","44","SHIELDS_UP","","0","1"
"miniorkernelgreen","1","miniorkernelgreen","6","sniper","unique","FLYING/ROCK","air","200","14","10","44","SHIELDS_UP","","0","1"
"miniorkernelorange","1","miniorkernelorange","6","sniper","unique","FLYING/ROCK","air","200","14","10","44","SHIELDS_UP","","0","1"
"miniorkernelred","1","miniorkernelred","6","sniper","unique","FLYING/ROCK","air","200","14","10","44","SHIELDS_UP","","0","1"
"minun","1","minun","6","runner","unique","ELECTRIC","wincon jumps","140","12","6","61","LINK_CABLE","40/40/40/80 special","0","1"
"misdreavus","2","misdreavus>mismagius","3","sniper","epic","GHOST/FAIRY","","80","6","4","59","NIGHT_SHADE","","0","2"
"moltres","1","moltres","7","skirmisher","legendary","FIRE/FLYING","air","300","28","6","54","OVERHEAT","12/25/50/100 special","0","1"
"morpeko","1","morpeko","6","tank","unique","DARK/ELECTRIC","wincon","200","18","10","56","AURA_WHEEL","20/40/60/120 special","0","1"
"morpekohangry","1","morpekohangry","6","tank","unique","DARK/ELECTRIC","wincon","200","18","10","56","AURA_WHEEL","20/40/60/120 special","0","1"
"mothim","1","mothim","5","skirmisher","rare","BUG/FLYING","air","150","13","5","46","QUIVER_DANCE","","0","1"
"mudbray","2","mudbray>mudsdale","5","tank","epic","GROUND","wincon","120","12","6","35","HIGH_HORSEPOWER","15/30/60/120 special","0","2"
"mudkip","3","mudkip>marshtomp>swampert","2","fighter","common","WATER/GROUND","","65","5","4","44","MUD_BUBBLE","","0","3"
"munchlax","2","munchlax>snorlax","4","bruiser","epic","NORMAL","","120","9","4","35","BODY_SLAM","","0","2"
"munkidori","1","munkidori","7","runner","legendary","POISON/PSYCHIC","wincon jumps","250","22","10","68","MIND_BEND","","0","1"
"munna","2","munna>musharna","3","skirmisher","rare","PSYCHIC","","80","9","4","34","MOON_DREAM","","0","2"
"murkrow","2","murkrow>honchkrow","5","tank","epic","DARK/FLYING","wincon air","110","9","12","48","FOUL_PLAY","","0","2"
"nacli","3","nacli>naclstack>garganacl","3","fighter","uncommon","ROCK","","80","7","6","36","SALT_CURE","","0","3"
"natu","2","natu>xatu","3","skirmisher","rare","PSYCHIC/FLYING","air","90","5","4","60","MAGIC_BOUNCE","","0","2"
"necrozma","1","necrozma","7","tank","legendary","PSYCHIC","wincon","300","29","10","50","PRISMATIC_LASER","","0","1"
"nickit","2","nickit>thievul","2","skirmisher","rare","DARK","","75","7","2","54","THIEF","15/30/60/120 special","0","2"
"nidoranf","3","nidoranf>nidorina>nidoqueen","2","fighter","uncommon","POISON/GROUND","","70","5","4","49","VENOSHOCK","30/60/120/240 special","0","3"
"nidoranm","3","nidoranm>nidorino>nidoking","2","fighter","uncommon","POISON/GROUND","","70","5","4","52","HORN_ATTACK","","0","3"
"nihilego","1","nihilego","6","sniper","legendary","POISON/ROCK","","200","22","2","58","ACID_SPRAY","11/22/33/66 special","0","1"
"nincada","2","nincada>ninjask","5","runner","epic","BUG","wincon jumps","130","10","10","76","WONDER_GUARD","30/60/120/240 special","0","2"
"noibat","2","noibat>noivern","2","skirmisher","uncommon","DRAGON/FLYING","air","65","4","2","64","RAZOR_WIND","20/40/80/160 special","0","2"
"nosepass","2","nosepass>probopass","2","skirmisher","uncommon","ROCK/STEEL","","70","5","6","38","MAGNET_RISE","","0","2"
"numel","3","numel>camerupt>megacamerupt","5","tank","epic","FIRE/GROUND","wincon","120","10","6","38","ERUPTION","30/50/70/90 special","0","3"
"nymble","2","nymble>lokix","4","runner","rare","BUG/DARK","wincon jumps","80","8","3","60","AXE_KICK","25/50/100/100 special","0","2"
"oddish","3","oddish>gloom>vileplume","3","fighter","special","GRASS/POISON","","80","8","4","41","STUN_SPORE","15/30/60/120 special","0","3"
"ogerponcornerstone","1","ogerponcornerstone","7","runner","legendary","GRASS/ROCK","wincon jumps","200","27","14","70","IVY_CUDGEL","50/75/100/200 special","0","1"
"ogerponcornerstonemask","1","ogerponcornerstonemask","7","runner","legendary","GRASS/ROCK","wincon jumps","200","27","14","70","IVY_CUDGEL","50/75/100/200 special","0","1"
"ogerponhearthflame","1","ogerponhearthflame","7","runner","legendary","GRASS/FIRE","wincon jumps","200","27","14","70","IVY_CUDGEL","50/75/100/200 special","0","1"
"ogerponhearthflamemask","1","ogerponhearthflamemask","7","runner","legendary","GRASS/FIRE","wincon jumps","200","27","14","70","IVY_CUDGEL","50/75/100/200 special","0","1"
"ogerponteal","1","ogerponteal","7","runner","legendary","GRASS","wincon jumps","200","27","14","70","IVY_CUDGEL","50/75/100/200 special","0","1"
"ogerpontealmask","1","ogerpontealmask","7","runner","legendary","GRASS","wincon jumps","200","27","14","70","IVY_CUDGEL","50/75/100/200 special","0","1"
"ogerponwellspring","1","ogerponwellspring","7","runner","legendary","GRASS/WATER","wincon jumps","200","27","14","70","IVY_CUDGEL","50/75/100/200 special","0","1"
"ogerponwellspringmask","1","ogerponwellspringmask","7","runner","legendary","GRASS/WATER","wincon jumps","200","27","14","70","IVY_CUDGEL","50/75/100/200 special","0","1"
"oinkolognefemale","1","oinkolognefemale","5","tank","uncommon","NORMAL","wincon","185","13","9","50","LINGERING_AROMA","10/20/30/60 special","0","1"
"okidogi","1","okidogi","7","tank","legendary","FIGHTING/POISON","wincon","250","28","12","51","CHAIN_CRAZED","","0","1"
"omanyte","2","omanyte>omastar","2","skirmisher","uncommon","WATER","","70","6","4","43","ROCK_TOMB","30/60/120/240 special","0","2"
"onix","3","onix>steelix>megasteelix","5","tank","epic","ROCK/GROUND","wincon","100","7","20","35","IRON_TAIL","","3","0"
"oricoriobaile","1","oricoriobaile","6","skirmisher","unique","GRASS/FIRE","","175","15","7","60","REVELATION_DANCE","15/30/50/80 special","0","1"
"oricoriopau","1","oricoriopau","6","skirmisher","unique","GRASS/PSYCHIC","","175","15","7","60","REVELATION_DANCE","15/30/50/80 special","0","1"
"oricoriopompom","1","oricoriopompom","6","skirmisher","unique","GRASS/ELECTRIC","","175","15","7","60","REVELATION_DANCE","15/30/50/80 special","0","1"
"oricoriosensu","1","oricoriosensu","6","skirmisher","unique","GRASS/GHOST","","175","15","7","60","REVELATION_DANCE","15/30/50/80 special","0","1"
"origingiratina","1","origingiratina","7","tank","legendary","DRAGON/GHOST","wincon","250","32","12","54","SHADOW_CLAW","20/40/60/120 special","0","1"
"orthworm","1","orthworm","6","tank","unique","STEEL/GROUND","wincon","185","12","14","40","PUMMELING_PAYBACK","20/40/60/120 special","0","1"
"oshawott","2","oshawott>dewott","5","tank","epic","WATER/FIGHTING","wincon","100","8","8","47","AQUA_TAIL","30/60/100/200 special","0","2"
"pachirisu","1","pachirisu","6","runner","unique","ELECTRIC/NORMAL","wincon jumps","180","14","7","61","NUZZLE","25/50/100/200 special","0","1"
"palafinhero","1","palafinhero","7","runner","unique","WATER","wincon jumps","200","30","12","80","JET_PUNCH","","0","1"
"paldeawooper","2","paldeawooper>clodsire","3","fighter","rare","POISON/GROUND/WATER","","80","6","6","31","RECOVER","","0","2"
"palkia","1","palkia","7","tank","legendary","DRAGON/WATER","wincon","300","22","10","57","SPACIAL_REND","20/60/100/200 special","0","1"
"pancham","2","pancham>pangoro","3","fighter","rare","FIGHTING/DARK","","80","8","6","42","ARM_THRUST","1/1/2/4 physical","0","2"
"paras","2","paras>parasect","3","fighter","rare","BUG/POISON/GRASS","","90","7","4","35","ABSORB","30/60/120/240 special","0","2"
"passimian","1","passimian","6","skirmisher","unique","FIGHTING","","180","20","8","50","FLING","","0","1"
"patrat","2","patrat>watchog","3","skirmisher","rare","NORMAL","","80","8","3","50","DETECT","","0","2"
"pawmi","3","pawmi>pawmo>pawmot","4","runner","rare","ELECTRIC/FIGHTING","wincon jumps","80","6","6","59","DOUBLE_SHOCK","50/100/200/400 special","0","3"
"pawniard","3","pawniard>bisharp>kingambit","6","tank","ultra","DARK/STEEL","wincon","130","18","10","41","KOWTOW_CLEAVE","","0","3"
"pecharunt","1","pecharunt","7","sniper","legendary","POISON/GHOST","","250","25","12","55","MALIGNANT_CHAIN","","0","1"
"petilil","1","petilil","2","fighter","uncommon","GRASS","","85","5","4","54","AROMATHERAPY","","0","1"
